StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
148,Student148,Female,80,10,77,3,Low,64
149,Student149,Male,91,10,88,0,High,77
150,Student150,Male,87,8,74,2,High,74
151,Student151,Male,83,34,63,4,Medium,68
152,Student152,Male,82,16,67,3,High,69
153,Student153,Female,76,10,95,3,Low,65
154,Student154,Male,74,23,75,5,High,74
155,Student155,Male,85,8,91,2,Low,66
156,Student156,Female,74,25,88,5,Low,77
157,Student157,Male,93,26,81,4,Medium,77
158,Student158,Male,71,13,88,0,High,69
159,Student159,Female,82,22,82,3,Low,67
160,Student160,Female,72,10,93,4,High,76
161,Student161,Female,90,17,94,2,Medium,77
162,Student162,Male,96,33,60,1,High,75
163,Student163,Female,96,15,84,2,High,75
164,Student164,Male,82,20,63,1,Medium,59
165,Student165,Male,100,30,91,0,High,86
166,Student166,Female,94,28,67,5,High,78
167,Student167,Male,97,5,81,3,High,73
168,Student168,Female,89,29,95,4,Medium,83
169,Student169,Male,81,29,67,5,High,71
170,Student170,Male,75,31,76,5,High,75
171,Student171,Female,78,28,75,0,High,67
172,Student172,Male,95,34,94,4,High,87
173,Student173,Male,88,27,76,2,High,73
174,Student174,Female,81,35,87,5,High,81
175,Student175,Female,92,30,76,1,Medium,72
176,Student176,Male,75,9,63,1,Medium,61
177,Student177,Male,86,10,91,0,Medium,67
178,Student178,Male,90,32,92,2,Low,73
179,Student179,Female,82,13,85,5,High,79
180,Student180,Male,98,18,80,4,Medium,77
181,Student181,Female,92,9,82,5,Low,70
182,Student182,Male,74,32,65,3,Medium,66
183,Student183,Male,87,14,63,0,Medium,59
184,Student184,Male,75,35,73,1,High,69
185,Student185,Male,73,16,79,2,Low,59
186,Student186,Female,84,20,94,5,High,83
187,Student187,Male,90,23,64,1,High,67
188,Student188,Male,83,19,69,1,Medium,65
189,Student189,Female,77,21,61,0,Medium,56
190,Student190,Male,73,10,84,2,High,70
191,Student191,Male,94,30,68,5,Low,73
192,Student192,Female,91,14,79,2,High,76
193,Student193,Female,84,22,78,5,High,83
194,Student194,Male,74,12,60,2,Low,58
195,Student195,Female,87,32,69,3,High,75
196,Student196,Female,86,19,82,0,Medium,73
197,Student197,Female,98,11,76,4,Low,78
198,Student198,Female,71,20,83,0,Low,58
199,Student199,Female,80,35,85,0,Medium,70
200,Student200,Female,98,34,69,3,High,84
201,Student201,Male,75,20,83,5,Medium,73
202,Student202,Male,84,22,93,1,Low,74
203,Student203,Male,95,8,79,4,High,77
204,Student204,Female,87,15,91,1,High,76
205,Student205,Male,84,29,70,4,Low,68
206,Student206,Male,91,27,68,5,Low,69
207,Student207,Female,75,29,85,2,High,74
208,Student208,Male,73,5,80,4,Medium,70
209,Student209,Female,95,33,66,5,High,86
210,Student210,Female,92,28,66,5,Low,72
211,Student211,Female,78,20,93,2,Medium,70
212,Student212,Female,82,20,79,0,High,71
213,Student213,Male,85,11,75,5,Low,74
214,Student214,Male,74,27,71,0,Medium,66
215,Student215,Female,81,7,62,3,Medium,62
216,Student216,Female,95,12,60,4,High,74
217,Student217,Male,88,20,83,4,High,76
218,Student218,Male,84,5,61,2,High,61
219,Student219,Female,99,16,68,0,High,69
220,Student220,Female,95,22,69,1,High,77
221,Student221,Male,76,19,77,1,Medium,65
222,Student222,Female,70,14,83,0,High,62
223,Student223,Female,87,19,78,0,High,71
224,Student224,Male,93,27,64,4,Medium,71
225,Student225,Female,75,11,65,0,Medium,59
226,Student226,Female,94,23,85,5,Medium,84
227,Student227,Male,85,23,79,1,High,72
228,Student228,Female,96,28,79,0,Low,70
229,Student229,Male,91,20,69,1,Low,64
230,Student230,Female,81,10,70,3,High,64
231,Student231,Female,83,33,76,4,Medium,75
232,Student232,Female,86,31,64,1,High,69
233,Student233,Female,91,6,68,2,Low,59
234,Student234,Female,81,20,61,5,Low,63
235,Student235,Female,84,23,72,4,Medium,71
236,Student236,Female,97,6,74,3,High,74
237,Student237,Male,84,29,80,4,Medium,73
238,Student238,Male,74,32,85,0,Low,62
239,Student239,Female,74,10,74,4,Medium,65
240,Student240,Female,79,8,60,4,High,69
241,Student241,Male,72,32,66,2,High,70
242,Student242,Female,72,24,92,5,High,75
243,Student243,Male,89,22,70,2,High,69
244,Student244,Female,71,9,92,4,Low,67
245,Student245,Female,99,15,60,2,Medium,68
246,Student246,Female,76,24,79,5,High,74
247,Student247,Male,91,15,73,1,High,71
248,Student248,Female,72,33,88,3,Medium,71
249,Student249,Female,85,16,80,3,Medium,76
250,Student250,Male,80,17,85,3,High,79
251,Student251,Female,98,23,65,0,High,69
252,Student252,Female,78,8,65,3,Low,55
253,Student253,Male,90,20,82,4,High,80
254,Student254,Male,79,5,68,1,High,60
255,Student255,Male,87,7,81,5,Medium,77
256,Student256,Female,92,22,65,3,Medium,70
257,Student257,Male,71,14,83,5,Medium,72
258,Student258,Female,81,17,67,2,High,63
259,Student259,Male,75,10,67,2,High,66
260,Student260,Female,77,34,89,3,Low,73
261,Student261,Female,92,20,95,4,High,86
262,Student262,Female,71,31,76,4,High,74
263,Student263,Male,98,9,73,5,High,76
264,Student264,Female,76,21,82,0,High,65
265,Student265,Male,79,29,78,5,High,76
266,Student266,Male,92,31,67,4,High,77
267,Student267,Male,77,32,87,4,High,79
268,Student268,Female,86,21,89,1,High,76
269,Student269,Female,76,22,69,2,Medium,64
270,Student270,Female,76,13,76,2,Low,57
271,Student271,Female,70,31,86,1,Low,68
272,Student272,Female,97,6,63,0,Medium,67
273,Student273,Female,77,25,67,5,Medium,66
274,Student274,Male,83,19,92,3,Medium,75
275,Student275,Male,91,15,83,2,Medium,78
276,Student276,Male,86,30,88,0,High,72
277,Student277,Female,90,7,61,3,Medium,67
278,Student278,Male,97,30,75,1,Low,76
279,Student279,Male,72,21,85,5,High,72
280,Student280,Female,95,25,88,5,High,91
281,Student281,Male,75,32,62,4,Medium,64
282,Student282,Male,84,16,88,5,High,80
283,Student283,Male,85,20,64,1,Medium,69
284,Student284,Female,76,5,65,3,Low,57
285,Student285,Female,74,18,89,4,High,72
286,Student286,Male,94,11,90,4,Medium,81
287,Student287,Male,89,16,74,0,Medium,69
288,Student288,Male,94,14,76,1,Medium,73
289,Student289,Female,91,11,78,1,High,74
290,Student290,Female,82,23,89,2,Medium,75
291,Student291,Female,100,7,76,5,Medium,74
292,Student292,Male,100,17,70,1,Low,72
293,Student293,Male,86,22,73,4,High,75
294,Student294,Female,99,12,63,5,Low,71
295,Student295,Male,88,23,60,0,High,65
296,Student296,Female,87,7,83,0,High,70
297,Student297,Male,81,26,77,5,High,75
298,Student298,Female,76,7,92,3,Low,66
299,Student299,Male,90,27,75,2,Medium,76
300,Student300,Female,70,8,66,3,Medium,61
301,Student301,Male,91,31,87,5,Low,78
302,Student302,Male,97,27,80,2,Low,78
303,Student303,Female,99,8,92,1,Medium,73
304,Student304,Female,70,26,84,4,High,77
305,Student305,Male,74,11,76,1,Medium,59
306,Student306,Male,78,30,87,2,High,77
307,Student307,Female,92,11,77,3,High,71
308,Student308,Male,95,17,85,5,High,86
309,Student309,Female,96,28,87,3,High,87
310,Student310,Female,92,27,85,1,Medium,74
311,Student311,Male,70,26,72,5,High,75
312,Student312,Male,88,17,67,0,High,64
313,Student313,Male,97,15,92,5,Low,79
314,Student314,Male,79,12,71,4,Medium,65
315,Student315,Female,88,29,93,5,High,83
316,Student316,Female,93,31,89,1,Low,76
317,Student317,Female,96,10,60,5,High,78
318,Student318,Male,78,19,91,3,High,80
319,Student319,Male,70,27,94,5,High,80
320,Student320,Male,70,34,82,5,High,81
321,Student321,Male,79,18,77,1,High,65
322,Student322,Male,94,28,94,0,Low,77
323,Student323,Female,90,29,64,0,High,73
324,Student324,Male,83,21,85,2,High,71
325,Student325,Male,97,28,85,3,Medium,78
326,Student326,Female,77,12,75,0,High,65
327,Student327,Male,89,27,88,3,Medium,83
328,Student328,Female,97,24,61,2,Medium,74
329,Student329,Male,100,26,81,0,High,78
330,Student330,Female,78,11,68,0,Medium,57
331,Student331,Male,91,20,87,3,Low,74
332,Student332,Male,75,5,87,3,Medium,70
333,Student333,Male,87,24,87,3,Medium,77
334,Student334,Female,90,5,63,5,High,72
335,Student335,Female,100,11,76,4,Low,73
336,Student336,Male,79,15,76,5,Medium,75
337,Student337,Male,93,31,74,2,High,75
338,Student338,Female,82,23,82,0,High,68
339,Student339,Male,97,16,71,5,High,82
340,Student340,Male,99,27,64,4,Low,73
341,Student341,Male,88,17,74,0,High,70
342,Student342,Female,88,27,92,3,High,81
343,Student343,Female,79,10,88,2,High,70
344,Student344,Male,95,17,76,2,High,79
345,Student345,Male,94,11,80,1,High,71
346,Student346,Female,83,16,71,4,High,72
347,Student347,Male,96,19,73,3,Medium,78
348,Student348,Female,79,8,66,3,Medium,65
349,Student349,Female,96,30,83,1,High,84
350,Student350,Female,87,17,64,1,High,71
351,Student351,Female,77,5,83,4,High,70
352,Student352,Male,92,10,88,4,High,85
353,Student353,Male,81,16,70,4,High,69
354,Student354,Female,71,10,85,5,High,77
355,Student355,Male,89,12,72,1,Medium,69
356,Student356,Female,74,34,74,0,Medium,62
357,Student357,Female,80,11,77,2,High,71
358,Student358,Female,99,28,93,0,High,85
359,Student359,Female,88,12,85,4,Medium,73
360,Student360,Male,88,15,61,1,High,69
361,Student361,Female,76,5,75,1,Low,54
362,Student362,Female,87,29,62,2,Medium,67
363,Student363,Female,100,28,73,0,High,77
364,Student364,Female,73,22,88,3,High,70
365,Student365,Female,77,35,65,3,Low,68
366,Student366,Female,77,22,72,2,Low,64
367,Student367,Male,92,5,79,4,Medium,74
368,Student368,Female,87,6,75,4,Low,65
369,Student369,Female,78,24,62,5,High,75
370,Student370,Male,95,35,88,4,Medium,83
371,Student371,Female,88,21,66,4,Medium,73
372,Student372,Female,86,35,89,0,High,77
373,Student373,Female,94,5,61,0,Medium,65
374,Student374,Female,73,9,90,5,High,76
375,Student375,Female,98,16,93,3,Medium,83
376,Student376,Male,82,35,72,0,High,69
377,Student377,Male,75,18,67,4,High,66
378,Student378,Female,96,22,62,0,Low,62
379,Student379,Female,85,22,87,3,Medium,74
380,Student380,Female,83,15,68,5,Low,70
381,Student381,Female,100,18,65,1,Medium,75
382,Student382,Male,84,5,74,3,Medium,69
383,Student383,Female,95,34,95,0,Medium,78
384,Student384,Female,93,22,67,2,High,74
385,Student385,Female,82,33,85,2,High,78
386,Student386,Female,79,27,91,3,Medium,74
387,Student387,Female,96,33,83,3,High,86
388,Student388,Male,81,31,64,4,High,70
389,Student389,Male,79,20,76,1,High,65
390,Student390,Female,73,24,87,1,Low,68
391,Student391,Male,94,17,71,1,Medium,66
392,Student392,Female,100,18,80,3,Low,78
393,Student393,Male,100,17,81,5,Medium,79
394,Student394,Male,80,17,82,1,High,73
395,Student395,Male,83,7,91,5,High,83
396,Student396,Male,98,14,88,5,High,84
397,Student397,Female,89,29,92,3,High,83
398,Student398,Male,100,27,87,2,Medium,82
399,Student399,Male,98,7,66,2,High,72
400,Student400,Female,77,29,65,0,High,61
401,Student401,Male,89,15,63,5,Low,65
402,Student402,Female,89,7,92,3,Medium,74
403,Student403,Male,83,32,95,2,High,80
404,Student404,Male,94,13,91,2,High,76
405,Student405,Female,93,9,78,2,High,70
406,Student406,Male,74,19,93,3,High,74
407,Student407,Female,94,26,69,1,Low,72
408,Student408,Male,81,30,91,2,High,81
409,Student409,Female,81,23,67,1,High,70
410,Student410,Male,71,32,78,5,Low,66
411,Student411,Male,74,14,80,0,High,63
412,Student412,Male,73,14,74,3,High,69
413,Student413,Male,80,26,85,0,High,72
414,Student414,Male,94,9,68,4,High,71
415,Student415,Female,91,27,68,3,High,78
416,Student416,Female,79,27,63,1,High,65
417,Student417,Male,83,5,87,5,Medium,73
418,Student418,Female,87,23,76,0,Low,66
419,Student419,Male,77,22,64,3,Medium,63
420,Student420,Male,99,31,70,5,High,86
421,Student421,Female,99,26,80,1,High,84
422,Student422,Female,86,15,77,1,Medium,70
423,Student423,Male,83,13,72,1,Medium,66
424,Student424,Female,85,32,94,4,High,88
425,Student425,Female,89,29,67,5,High,77
426,Student426,Female,80,11,60,1,High,61
427,Student427,Female,70,11,74,3,Medium,59
428,Student428,Female,80,25,84,3,High,73
429,Student429,Female,78,20,94,3,Medium,76
430,Student430,Female,78,32,79,0,High,68
431,Student431,Female,82,31,69,2,High,70
432,Student432,Female,87,13,78,5,High,77
433,Student433,Female,75,9,77,3,Low,62
434,Student434,Male,78,6,90,4,High,70
435,Student435,Male,87,5,61,3,Medium,66
436,Student436,Male,98,19,86,0,High,79
437,Student437,Female,91,33,91,5,High,89
438,Student438,Female,98,8,84,2,High,75
439,Student439,Male,96,29,60,1,High,75
440,Student440,Male,91,24,86,1,Medium,79
441,Student441,Female,78,17,95,3,High,74
442,Student442,Male,78,28,80,1,Medium,66
443,Student443,Male,77,12,90,3,Medium,70
444,Student444,Male,90,6,85,4,High,79
445,Student445,Male,87,14,88,5,Medium,74
446,Student446,Male,81,31,62,0,High,68
447,Student447,Female,72,27,93,3,Medium,77
448,Student448,Male,77,7,94,5,High,80
449,Student449,Female,82,11,71,2,High,71
450,Student450,Male,84,7,75,2,High,69
451,Student451,Male,92,30,77,4,Low,80
452,Student452,Female,82,7,91,4,Medium,75
453,Student453,Female,89,21,74,4,High,81
454,Student454,Male,94,10,79,1,High,75
455,Student455,Male,72,24,82,5,High,74
456,Student456,Female,91,35,83,0,Low,71
457,Student457,Male,91,5,62,2,High,68
458,Student458,Female,90,11,73,4,High,72
459,Student459,Female,96,32,80,2,Low,75
460,Student460,Male,83,16,85,1,Medium,70
461,Student461,Female,71,7,74,5,Low,64
462,Student462,Male,93,14,78,5,High,76
463,Student463,Female,98,22,61,2,High,75
464,Student464,Male,79,29,60,3,High,71
465,Student465,Male,75,8,62,0,Medium,58
466,Student466,Female,86,9,80,5,High,81
467,Student467,Female,87,13,83,3,High,79
468,Student468,Female,77,28,74,0,High,69
469,Student469,Female,87,22,88,0,Medium,68
470,Student470,Female,83,35,74,2,High,75
471,Student471,Female,92,22,70,2,Low,73
472,Student472,Male,90,32,94,3,Medium,86
473,Student473,Female,75,9,89,5,High,71
474,Student474,Male,90,18,77,3,Medium,76
475,Student475,Male,74,6,87,3,High,71
476,Student476,Male,72,14,92,5,Medium,72
477,Student477,Male,85,21,89,5,Medium,76
478,Student478,Male,99,32,75,1,High,84
479,Student479,Female,88,14,64,0,Medium,66
480,Student480,Female,80,29,86,4,High,84
481,Student481,Female,77,8,77,4,Low,65
482,Student482,Male,89,29,71,0,High,73
483,Student483,Male,97,22,89,1,High,83
484,Student484,Male,89,25,89,1,Low,75
485,Student485,Female,72,20,72,0,High,63
486,Student486,Male,74,34,69,3,Medium,64
487,Student487,Male,81,33,62,4,High,73
488,Student488,Male,98,19,90,1,Low,73
489,Student489,Male,70,6,73,4,Medium,66
490,Student490,Female,91,26,84,0,Low,68
491,Student491,Male,96,24,92,2,Low,77
492,Student492,Male,75,13,64,4,High,65
493,Student493,Female,89,19,80,5,Medium,79
494,Student494,Female,91,23,94,4,High,90
495,Student495,Male,82,17,62,3,Low,66
496,Student496,Male,99,29,93,5,Medium,92
497,Student497,Female,73,7,79,2,High,65
498,Student498,Female,96,30,68,3,Medium,73
499,Student499,Male,85,27,81,1,High,75
500,Student500,Female,82,15,60,2,High,69
501,Student501,Female,97,8,91,4,Medium,77
502,Student502,Male,82,18,76,4,Low,71
503,Student503,Male,83,29,74,4,Low,69
504,Student504,Female,93,33,60,2,High,76
505,Student505,Male,92,21,68,2,High,76
506,Student506,Male,94,19,74,0,High,72
507,Student507,Female,75,26,84,3,Low,71
508,Student508,Female,77,22,89,3,Low,67
509,Student509,Female,89,35,73,3,Medium,72
510,Student510,Female,79,23,67,0,Medium,61
511,Student511,Female,99,5,88,0,High,71
512,Student512,Female,92,30,60,1,High,67
513,Student513,Male,74,26,63,5,High,71
514,Student514,Male,96,21,67,1,High,69
515,Student515,Female,90,29,68,0,High,72
516,Student516,Male,97,19,79,3,High,79
517,Student517,Male,96,27,89,3,Low,77
518,Student518,Male,71,34,79,4,High,79
519,Student519,Female,76,26,68,3,High,67
520,Student520,Male,76,15,85,3,High,77
521,Student521,Female,85,35,80,0,Medium,70
522,Student522,Female,72,17,76,0,Low,61
523,Student523,Male,97,20,73,4,High,81
524,Student524,Male,73,27,91,5,High,82
525,Student525,Male,94,7,78,5,Low,71
526,Student526,Female,72,16,73,0,Low,60
527,Student527,Male,79,31,85,0,Medium,66
528,Student528,Male,85,28,88,0,Medium,75
529,Student529,Male,90,30,76,5,Low,73
530,Student530,Male,81,24,73,3,Medium,74
531,Student531,Male,80,30,84,0,Medium,68
532,Student532,Male,93,30,70,0,High,72
533,Student533,Female,75,5,74,4,High,69
534,Student534,Male,72,32,64,4,Medium,71
535,Student535,Male,75,18,74,0,High,61
536,Student536,Male,87,12,66,1,High,69
537,Student537,Male,93,14,62,5,High,78
538,Student538,Male,76,20,94,3,Medium,70
539,Student539,Male,82,8,86,5,High,74
540,Student540,Female,77,8,90,0,Medium,69
541,Student541,Male,90,26,67,1,Low,63
542,Student542,Female,82,24,90,0,Low,70
543,Student543,Female,91,5,76,2,Medium,71
544,Student544,Male,84,17,95,1,Medium,70
545,Student545,Male,81,20,71,2,Low,64
546,Student546,Male,89,15,85,5,High,82
547,Student547,Female,74,27,74,2,Low,63
548,Student548,Male,74,19,82,3,High,68
549,Student549,Female,91,20,93,5,Medium,83
550,Student550,Male,91,20,85,3,Medium,76
551,Student551,Male,98,32,85,3,Medium,80
552,Student552,Female,100,31,87,1,Low,78
553,Student553,Female,89,18,86,0,High,71
554,Student554,Male,78,30,69,2,High,66
555,Student555,Male,92,13,83,1,High,72
556,Student556,Male,87,20,92,2,Low,69
557,Student557,Male,93,8,85,1,High,75
558,Student558,Male,97,7,84,5,High,86
559,Student559,Female,100,29,70,1,Medium,78
560,Student560,Female,95,10,84,4,Low,72
561,Student561,Male,78,34,61,3,Low,65
562,Student562,Male,93,34,93,5,High,86
563,Student563,Male,77,11,80,4,Low,65
564,Student564,Male,90,12,79,4,High,76
565,Student565,Male,91,9,69,3,Medium,74
566,Student566,Female,88,22,76,4,Low,75
567,Student567,Male,79,9,67,2,High,66
568,Student568,Female,92,13,68,3,Low,70
569,Student569,Male,92,6,68,3,High,75
570,Student570,Male,89,12,92,3,High,76
571,Student571,Female,98,8,92,1,Medium,77
572,Student572,Female,85,13,82,2,High,77
573,Student573,Female,96,16,89,0,High,77
574,Student574,Female,99,9,70,1,High,76
575,Student575,Female,71,5,73,1,High,57
576,Student576,Female,98,11,70,0,Low,66
577,Student577,Female,85,31,69,4,Medium,71
578,Student578,Male,100,17,61,3,High,77
579,Student579,Male,83,8,84,1,High,67
580,Student580,Male,70,14,69,2,Medium,60
581,Student581,Female,77,17,67,4,High,67
582,Student582,Female,99,11,77,1,Medium,77
583,Student583,Female,84,5,93,2,Low,73
584,Student584,Female,85,23,79,0,Low,70
585,Student585,Male,71,27,94,5,High,79
586,Student586,Male,94,16,78,0,Medium,73
587,Student587,Male,92,13,81,3,High,80
588,Student588,Male,73,26,66,0,High,63
589,Student589,Female,70,18,74,2,High,68
590,Student590,Female,73,14,93,3,High,72
591,Student591,Male,99,8,67,3,Medium,68
592,Student592,Male,73,5,85,0,High,60
593,Student593,Female,74,34,86,0,High,69
594,Student594,Male,95,28,67,4,Low,75
595,Student595,Male,88,5,73,4,Medium,69
596,Student596,Male,79,21,89,5,Medium,75
597,Student597,Male,87,31,85,2,High,82
598,Student598,Female,78,35,65,5,High,71
599,Student599,Male,88,8,77,0,High,69
600,Student600,Male,75,35,84,0,Medium,70
601,Student601,Female,82,5,93,1,Low,62
602,Student602,Male,94,35,76,0,High,73
603,Student603,Female,88,35,89,2,Medium,75
604,Student604,Male,94,21,73,5,High,81
605,Student605,Male,75,19,69,2,High,69
606,Student606,Male,94,34,83,1,High,79
607,Student607,Female,78,34,91,3,Medium,74
608,Student608,Female,95,5,93,3,High,76
609,Student609,Female,76,24,89,2,Low,73
610,Student610,Female,87,13,66,2,Low,64
611,Student611,Female,98,12,82,2,Low,68
612,Student612,Female,84,32,70,0,High,69
613,Student613,Female,100,15,60,3,High,78
614,Student614,Female,100,16,88,0,Medium,73
615,Student615,Male,71,27,69,5,High,69
616,Student616,Male,89,11,79,2,Low,65
617,Student617,Male,90,33,64,2,Low,69
618,Student618,Male,82,21,90,2,Medium,70
619,Student619,Female,81,21,87,4,Medium,74
620,Student620,Female,92,26,82,0,Medium,71
621,Student621,Male,83,5,63,3,Low,57
622,Student622,Female,85,24,79,5,Medium,80
623,Student623,Female,85,16,77,1,Medium,65
624,Student624,Male,100,22,88,3,Medium,79
625,Student625,Male,88,7,81,5,Low,72
626,Student626,Male,90,18,64,5,Low,69
627,Student627,Female,96,34,92,3,Low,83
628,Student628,Female,89,23,95,1,High,77
629,Student629,Female,70,13,78,3,High,63
630,Student630,Female,81,31,88,0,High,74
631,Student631,Male,99,5,79,4,High,83
632,Student632,Female,89,28,95,3,Low,80
633,Student633,Female,93,10,72,1,High,74
634,Student634,Male,79,9,93,2,High,77
635,Student635,Female,79,19,74,1,Low,59
